name,address,city,state,zip,lat,lng,
Phil & Ann's RV,"818 Tracy Grove Road,",Flat Rock,North Carolina,28731,35.288036,-82.394669,
Out Of Doors Mart,"8510 Norcross Road,",Colfax,North Carolina,27235,36.089272,-80.012545,
Oldtown Camper,"5109 North Causeway Drive,",Winston Salem,North Carolina,27106,36.14391,-80.323157,
Old Corundum Millsite,"80-33 Nickajack Road,",Franklin,North Carolina,28734,35.189081,-83.41226,
Norris Motor Home Sales,"4825 Us Highway 421 South,",Boone,North Carolina,28607,36.218005,-81.652138,
Nightrider RV Inc,"1056 Pinnacle Church Road,",Nebo,North Carolina,28761,35.68533,-81.91054,
National Recovery Service Inc,"3241 Leonard Drive,",Liberty,North Carolina,27298,35.885115,-79.567545,
Young's RV Center - Perrysburg,"26420 North Dixie Highway,",Perrysburg,Ohio,43551,41.517951,-83.572004,
Young's RV Center - Fremont,"1450 Dickinson Street,",Fremont,Ohio,43420,41.357927,-83.110237,
Mtrv Llc,"4000 Highway 74 West,",Monroe,North Carolina,28110,35.066044,-80.509089,
Yonak's Inc,"46293 Centerville,",Belmont,Ohio,43718,40.015007,-80.998096,
Wrenches Unlimited,"56783 Somerton Highway,",Barnesville,Ohio,43713,39.987894,-81.17459,
Wolff Trailer Repair,"13564 State Road 107,",Montpelier,Ohio,43543,41.606489,-84.645346,
Winebarger's Heating & Cooling,"89 South State Route 19,",Oak Harbor,Ohio,43449,41.534376,-83.13557,
Wlliams Travel Trailer Sales,"7729 East Main Street,",Reynoldsburg,Ohio,43068,39.956185,-82.784665,
Wilson's Campers,"6443 Findley Street,",Huntsville,Ohio,43324,40.444543,-83.813798,
Wilson RV Repair,"8011 Kilbourne Road,",Sunbury,Ohio,43074,40.269531,-82.850655,
Willow Lake Campground,"3935 North Broadway,",Geneva,Ohio,44041,41.7769,-80.949898,
Wiljans Air & Heating,"221 North Main,",Columbus Grove,Ohio,45830,40.90846,-84.095933,
Wildcat Wood Camping,"1355 Wildcat Road,",Greenville,Ohio,45331,40.098606,-84.650546,
Westview Llc,"603 Mccoy Road,",Wilmington,Ohio,45177,39.460731,-83.844295,
White's Mobile Home Park,"2076 Us 68 South,",Wilmington,Ohio,45177,39.460731,-83.844295,
Wilcart Inc,"10303 Milan Road,",Milan,Ohio,44846,41.319413,-82.605836,
Walters Travel Trailers,"12525 Airport Highway,",Swanton,Ohio,43558,41.594698,-83.87839,
Western Reserve Camping,"7898 Mayfield Road,",Chesterland,Ohio,44026,41.528147,-81.324706,
Walter's Collision Service,"222 East Front Street,",Napoleon,Ohio,43545,41.390884,-84.127337,
Walnut Grove Campground,"7325 South Township Road, #131,",Tiffin,Ohio,44883,41.123331,-83.173911,
Wagner Motor Sales Inc,"720 North Shoop Avenue,",Wauseon,Ohio,43567,41.580346,-84.161063,
Vince's Tv & Appliance,"108 Railway Avenue,",Holgate,Ohio,43527,41.246109,-84.157502,
Vic Sabo & Sons Inc,"755 Chambers Road,",Columbus,Ohio,43212,39.986564,-83.043198,
Valley View RV Supply,"1815 Limbach Road,",Clinton,Ohio,44216,40.945779,-81.581744,
Twin Acres Camper Rentals,"05065 County Road 20-50,",Stryker,Ohio,43557,41.487386,-84.392466,
Vantasy Conversions,"816 East 5th Street,",Delphos,Ohio,45833,40.834219,-84.348665,
Gipson RV,"Highway 62/82 West,",Wolfforth,Texas,79382,33.455287,-102.014055,
Transportation Equipment Sls,"6401 Seaman Road,",Oregon,Ohio,43616,41.658372,-83.408909,
Trails West Distributing,"8600 East Main Street, Suite B,",Reynoldsburg,Ohio,43068,39.956185,-82.784665,
Gilsinger RV & Mh Service,"716 Rosewood Avenue,",Boerne,Texas,78006,29.85855,-98.703353,
Tri-state Mobility Equip Co,"940 Cleveland Avenue Sw,",Canton,Ohio,44707,40.761094,-81.34984,
Gibbs,"1110 West Gray,",Houston,Texas,77019,29.75415,-95.409498,
Gene's Camper & Repair,"5723 South 1st,",Abilene,Texas,79605,32.434599,-99.781827,
Genuine RV Store,"2824 Nw Stallings Drive,",Nacogdoches,Texas,75964,31.631742,-94.740721,
Get-a-way RV,"9435 Dyer,",El Paso,Texas,79924,31.902442,-106.413245,
Gary's RV Service,"1229 South Church Street,",Rockport,Texas,78382,28.132627,-97.06207,
Gary Air Conditioning,"10000 East Fm 1604,",Converse,Texas,78109,29.487774,-98.291474,
Gallagher's RV Sales,"4121 North 10th Street, #279,",Mcallen,Texas,78504,26.271965,-98.23657,
G & R Sales & Service,"Rt 2, Box 24, D1 Highway 77 North,",Rockdale,Texas,76567,30.649554,-97.006117,
G & B Service & Parts,"2016 Bolden Road,",Irving,Texas,75060,32.796483,-96.954806,
Garrett Air Conditioning Repair,"5721 Yarborough,",Longview,Texas,75604,32.509164,-94.824416,
Fun Time RV Center,"2200 East Highway 67,",Cleburne,Texas,76031,32.346162,-97.328078,
Funtime RV Outlet,"5050 I-20 Frontage Road South,",Willow Park,Texas,76087,32.682609,-97.782556,
Fun Time RV,"Highway 62-82, Fm 179,",Wolfforth,Texas,79382,33.455287,-102.014055,
Fry's RV Service,"28835 Old Fredricksburg Road,",Boerne,Texas,78006,29.85855,-98.703353,
Frontier Pacific Corp,"6710 I-20 East,",Abilene,Texas,79601,32.576489,-99.665323,
Frontier RV Inc,"1501 Sabine,",Longview,Texas,75601,32.50856,-94.724049,
Fun Time RV Dallas,"7201 North I-35,",Denton,Texas,76207,33.22785,-97.181823,
Fun Country RV's,"8800 South Desert Blvd,",Anthony,Texas,79821,31.980053,-106.598777,
Franklin RV Ii,"6486 South Highway 67,",San Angelo,Texas,76904,31.271515,-100.400625,
Franklin RV Center,"1021 South Access Road,",Clyde,Texas,79510,32.266413,-99.518894,
Frank's RV Service,"10902 Us Highway 59 North,",Victoria,Texas,77905,28.731379,-97.042716,
Franklin Big Country RV Outlet,"1021 South Access Road,",Clyde,Texas,79510,32.266413,-99.518894,
Foretravel Of Texas,"2230 West University Drive,",Denton,Texas,76201,33.220974,-97.146038,
Foreman's Inc,"3800 Highway 26,",Colleyville,Texas,76034,32.891787,-97.149641,
Fleet Maintenance,"4800 East 7th Street,",Austin,Texas,78702,30.263378,-97.714483,
Freeway Sales Corporation,"11344 I-10,",Baytown,Texas,77520,29.733275,-94.994118,
Foland's Red Barn,"Highway 2545,",Kingsland,Texas,78639,30.672818,-98.442748,
Fesco Inc,"1408 East Main Street,",Alice,Texas,78332,27.72486,-98.134831,
Felton's RV Service,"1321 Riggs Road,",Houston,Texas,77022,29.83159,-95.379554,
Family RV Sales,"5601 South General Bruce Drive,",Temple,Texas,76504,31.137886,-97.373653,
Farrar's Repair Service,"2600 Glenwood Trail,",Cedar Park,Texas,78613,30.503949,-97.8242,
Family RV Center,"1410 Nw Georgia,",Sweetwater,Texas,79556,32.458787,-100.357939,
Family Camping Service Ctr Inc,"13600 I-27,",Amarillo,Texas,79119,35.109084,-102.017887,
Explore Usa RV Supercenter,"5808 Communication Park Way,",Plano,Texas,75093,33.034224,-96.811608,
Explore Usa RV Supercenter,"8810 North Ih-35 (exit 271),",Georgetown,Texas,78626,30.657897,-97.617886,
Explore Usa RV Supercenter,"3654 West Ih-10,",Seguin,Texas,78155,29.542743,-97.937075,
Explore Usa RV Supercenter,"29397 West Ih-10,",Boerne,Texas,78006,29.85855,-98.703353,
Explore Usa RV Supercenter,"4001 S Ih-35 East,",Denton,Texas,76210,33.149467,-97.096016,
Explore Usa RV Supercenter,"4300 I-30,",Mesquite,Texas,75150,32.817399,-96.630416,
Explore Usa RV Supercenter,"806 Us Highway 90 East,",Castroville,Texas,78009,29.357251,-98.886655,
Explore Usa RV Supercenter,"3115 Sw Loop 410,",San Antonio,Texas,78224,29.306228,-98.530819,
Exit 415 RV Center,"4026 I-20 West,",Willow Park,Texas,76087,32.682609,-97.782556,
Explore Usa RV Service Center,"2424 Sw Loop 410,",San Antonio,Texas,78227,29.406624,-98.630303,
Explore Usa RV Service Center,"21320 Ih-35,",Kyle,Texas,78640,29.999103,-97.828207,
Evergreen RV Center,"1710 Ih-35 North,",New Braunfels,Texas,78130,29.693556,-98.07285,
Everything RV Ltd,"2933 Highway 146,",Bacliff,Texas,77518,29.507162,-94.987247,
Wray Frazier Camping Center,"Highway 16 South,",Newton,North Carolina,28658,35.637619,-81.235843,
Woodrow Smith Mobile Home Inc,"5807 Highway 70 West,",Lagrange,North Carolina,27551,36.432843,-78.05017,
Ye Old Cars,"404 Pinecrest Drive,",Wilson,North Carolina,27893,35.688948,-77.896676,
Wilson's Inc,"225 Amboy Road,",Asheville,North Carolina,28806,35.571971,-82.614729,
Van & RV Sales,"1300 South Wesleyan Blvd,",Rocky Mount,North Carolina,27803,35.903051,-77.856172,
White Lake RV Center,"30 Highway 53 East,",Elizabethtown,North Carolina,28337,34.657047,-78.561559,
Willies Camping Center,"3727 Highway 421 North,",Clinton,North Carolina,28328,35.003503,-78.337924,
Western Full Hitch & Trailer Svc,"1529 Mountain View Church Road,",Hamptonville,North Carolina,27020,36.102925,-80.804054,
Tony Hobbes & Son RV Service,"222 Kale Road,",New Bern,North Carolina,28562,35.081631,-77.126893,
Trailers Of The East Coast,"360 Blaise Church Road,",Mocksville,North Carolina,27028,35.922771,-80.580443,
Travelin Sales,"1381 Kildaire Farm Road,",Cary,North Carolina,27511,35.763414,-78.788528,
Tom Johnson Camping Center,"6700 Speedway Blvd,",Concord,North Carolina,28027,35.406991,-80.685957,
Tom Johnson Camping Center,"1885 Highway 70 West,",Marion,North Carolina,28752,35.709599,-82.035573,
Evergreen RV Austin South,"17600 Ih-35 South,",Buda,Texas,78610,30.078514,-97.838012,
Todd's RV & Marine Inc,"2918 North Rugby Road,",Hendersonville,North Carolina,28791,35.356104,-82.508181,
Yacht Md,"1783 Everett Place,",East Meadow,New York,11554,40.720115,-73.558861,
Zappia Enterprises Inc,"173 Dingens Street,",Buffalo,New York,14206,42.880078,-78.810469,
World Of Hitches 'n' Rental,"1494 Bellmore Avenue,",North Bellmore,New York,11710,40.671972,-73.531972,
World Wide Polymers,"310 Madison Avenue,",New York,New York,10017,40.75236,-73.972493,
Wrattens Trailer Sales Llc,"Route 11 South,",Adams,New York,13605,43.80741,-76.050358,
Wood N Stuff RV Repairs,"2 Benny Lane,",Ruby,New York,12475,42.015237,-74.015432,
Woodchop Shop,"352 Cowan Road,",Canton,New York,13617,44.580531,-75.142767,
Wolfe's Savage RV,"2968 Niagra Falls Blvd,",North Tonawanda,New York,14120,43.079317,-78.842654,
Wilkins RV Inc,"7520 State Route 415,",Bath,New York,14810,42.349751,-77.343379,
White Star Distributors,"5735 Davison Road #5,",Akron,New York,14001,43.036573,-78.510831,
Wheaton's Heating & Ac,"1020 Craft Road,",Ithaca,New York,14850,42.432165,-76.497042,
White's RV Specialist,"1530 Duanesburg Road,",Schenectady,New York,12306,42.805429,-74.044227,
West Chester Ac Corp,"698 North Division Street,",Peeksill,New York,10566,41.289483,-73.916847,
Wes Trailer Sales,"6166 Route 25,",Wading River,New York,11792,40.954997,-72.825588,
West Canada Creed Campsites,"Route 28,",Poland,New York,13431,43.209082,-75.073328,
Weather Champions Ltd,"158 Dikeman Street,",Brooklyn,New York,11231,40.677916,-74.005154,
Waterloo Harbor Campground,"1278 Waterloo-geneva Road,",Waterloo,New York,13165,42.916639,-76.883297,
Wayne's RV Service,"102 Newton Avenue,",Phoenicia,New York,12464,42.02354,-74.367292,
Wards Travel Trailers,"Route 11,",Marathon,New York,13803,42.456883,-76.067124,
Volmar Construction Inc,"4400 2nd Avenue,",Brooklyn,New York,11232,40.656546,-74.007355,
Village Dodge Inc,"819 Route 66,",Hudson,New York,12534,42.217345,-73.752256,
Walton H Bull Trailer Sales,"709 Route 374,",Cadyville,New York,12918,44.700736,-73.676657,
Walker's Four Seasons Inc,"Route 96,",Victor,New York,14564,42.986699,-77.43436,
Tyler's,"30 North Street,",Cleveland,New York,13042,43.26045,-75.85258,
Valley Van Conversions,"622 West Merrick Road,",Valley Stream,New York,11580,40.6749,-73.702154,
Twin Trailer Sales Inc,"1720 Foot Ave, Route 60 South,",Jamestown,New York,14701,42.08016,-79.25671,
Twin Oaks Campground,"142 Twin Oaks Lane,",Schoharie,New York,12157,42.669798,-74.286077,
Travel Trailer Center Inc,"10320 Maple Ridge Road,",Middleport,New York,14105,43.199166,-78.483903,
Trailer City Riverhead,"1064 Route 58,",Riverhead,New York,11901,40.926901,-72.643499,
Trailer City,"Route 17 M,",Monroe,New York,10950,41.317346,-74.199881,
Top Notch RV,"1448 Route 50,",Ballston Spa,New York,12020,43.001589,-73.868123,
Tony's Appliance Repair Service,"14 East Hampton Road,",Lindenhurst,New York,11757,40.68901,-73.373328,
The Ranch Trailer Sales,"13492 Route 9 West,",West Coxsackie,New York,12192,42.409035,-73.827677,
Three B Supply Inc,"66 Brockway Place,",White Plains,New York,10601,41.032932,-73.765071,
Tom's RV Repair,"319 Besaw Road,",Phoenix,New York,13135,43.253687,-76.314375,
Torchlite Campground & RV Repair,"Route 23,",Cairo,New York,12413,42.313984,-74.02216,
The Great Outdoors Rec Center,"1122 Cr 57,",Fulton,New York,13069,43.329276,-76.380655,
Tailgator Inc,"301 Riverside Drive,",Geneseo,New York,14454,42.797774,-77.774638,
"Temp Guard Refrig, Ac & Heating","4001 Burnt Hill Road,",Burdett,New York,14818,42.454933,-76.818927,
Ta-ga-soke Campground,"7820 Higginsville Road,",Blossville,New York,13308,43.251266,-75.657668,
Tag Motors & RV,"1601 Route 112,",Medford,New York,11763,40.826582,-72.98405,
Systematic Control Corp,"203-14 48th Avenue,",Oakland Gardens,New York,11364,40.745289,-73.760586,
Steve's Sheet Metal,"53-04 Roosevelt Avenue,",Woodside,New York,11377,40.744819,-73.905156,
Steve's RV Center Inc,"7364 Us Highway 11,",Potsdam,New York,13676,44.65496,-74.926222,
State Line Camping Center,"9589 Morgan Creek Road,",Lindley,New York,14858,42.02979,-77.134956,
Spruce Row Inc,"2271 Kraft Road,",Ithaca,New York,14850,42.432165,-76.497042,
Sterling Creek Corp,"304 Gerelock,",Solvay,New York,13209,43.068502,-76.224251,
Southside Trailer Service Inc,"250 Two Mile Creek Road,",Tonawanda,New York,14150,42.998084,-78.878256,
Snyder's Welding,"339 East Main Street,",Canajoharie,New York,13317,42.854101,-74.590839,
Shining Time Express Ii Inc,"1606 Broadway,",Darien Center,New York,14040,42.890873,-78.376631,
Skyline RV Sales & Service,"10933 Townline Road,",Darien Center,New York,14040,42.890873,-78.376631,
Seven O's Rec Sales,"7917 Devaul Road,",Kirkville,New York,13082,43.10273,-75.959888,
Skyway RV Center,"Route #52 & Mountaindale Road,",Greenfield Park,New York,12435,41.7308,-74.51336,
Seacoast Services Inc,"262 South Ketcham Avenue,",Amityville,New York,11701,40.682453,-73.414381,
Sausbiers Awning Shop Inc,"43 Eighth Street,",Hudson,New York,12534,42.217345,-73.752256,
Service Van & RV Specialist,"724 Old Liverpool Road,",Liverpool,New York,13088,43.112421,-76.189457,
Samcoe RV,"5077 Transit Road,",Depew,New York,14043,42.901971,-78.703418,
RV Trading Post,"5070 West Ridge Road,",Spencerport,New York,14559,43.18998,-77.819052,
S & S Fleet Service,"5965 Rometaberg Road,",Rome,New York,13440,43.215771,-75.461779,
RV Way,"8700 Route 11,",Cicero,New York,13039,43.172142,-76.056249,
RV Sales & Rentals Of Albany,"76 Exchange Street,",Albany,New York,12205,42.718785,-73.82924,
RV Tech Inc,"11919 Gowanda State Road,",North Collins,New York,14111,42.580255,-78.904691,
RV Mobile Service,"2686 Maple Avenue,",Newfane,New York,14108,43.263343,-78.72695,
RV Magician,"27 Woodside Avenue,",Gloversville,New York,12078,43.134351,-74.339632,
RV Doctors,"101 County Route 164,",Jeffersonville,New York,12748,41.774642,-74.922609,
RV Doctor,"30 Sullivan Road,",Lake George,New York,12845,43.424048,-73.71274,
Royal Mountain Campsite,"4948 State Highway 29,",Johnstown,New York,12095,43.024817,-74.403815,
Route 11 Truck & Equipment,"6085 Us Highway 11,",Canton,New York,13617,44.580531,-75.142767,
Rolling Mechanic,"348 Renee Drive,",Bayport,New York,11705,40.743277,-73.055841,
Rob's Auto Service Ltd,"920 West Jericho Turnpike,",Smithtown,New York,11787,40.852924,-73.21126,
Ricks Automotive,"240 South Plank Road,",Newburgh,New York,12550,41.539574,-74.057223,
Reinecke Wholesale,"282 South Huxley Drive,",Cheektowaga,New York,14225,42.928949,-78.750273,
Reynolds Caps & Campers,"Route 414 South, Lot 7843,",Ovid,New York,14521,42.676642,-76.805003,
Rapunzel's Tower,"62 Woodcut Drive,",Mastic Beach,New York,11951,40.763164,-72.830344,
Rainbow Sheet Metal,"33 Brookside Avenue,",Endwell,New York,13760,42.133332,-76.084622,
Rainbow Valley,"Rd 2,",Bloomingburg,New York,12721,41.581723,-74.422422,
R & D Auto & Truck World,"4155 Route 5&20 East,",Canandaigua,New York,14424,42.856695,-77.303277,
Quality RV,"4303 State Highway 30,",Amsterdam,New York,12010,42.937632,-74.173325,
Pro Refrigeration,"120-2b Debs Place,",Bronx,New York,10475,40.875169,-73.823817,
Pure Springs Ent,"Rr 2,",Norwich,New York,13815,42.547866,-75.530855,
Pro Jo Trailer Parts & Service,"68 Allen Loop,",Staten Island,New York,10304,40.609227,-74.092575,
Prince Electric Corp,"130-07 26 Avenue,",College Point,New York,11354,40.768208,-73.827403,
Price Rite Recreational,"Route #52,",Youngsville,New York,12791,41.817275,-74.89287,
Pope Haven Campgrounds Llc,"11948 Pope Road,",Randolph,New York,14772,42.15747,-78.952618,
Price Rite Boat & Camper Sales,"1128 Route 17k,",Montgomery,New York,12549,41.528031,-74.259365,
Platinum Ford Llc,"154-02 41st Avenue,",Flushing,New York,11354,40.768208,-73.827403,
Perry Camping Trailer Sales,"7633 Pine Tavern Road, Route 39,",Perry,New York,14530,42.73991,-77.998746,
Performance Automotive,"941 Ridge Road,",Webster,New York,14580,43.217283,-77.444534,
Paul Congelosi Sales Inc,"2201 Route 17k,",Montgomery,New York,12549,41.528031,-74.259365,
Paul Reed (electro-mech Service),"21 Vatrano,",Albany,New York,12205,42.718785,-73.82924,
Parkway RV Superstore,"9890 State Highway 37,",Ogdensburg,New York,13669,44.672777,-75.482342,
Paradise Bay RV,"2360 Shady Side Road,",Findley Lake,New York,14736,42.140845,-79.746108,
Painted Post Car Mart,"124 Victory Highway,",Painted Post,New York,14870,42.160372,-77.127611,
P & L Of Malta Inc,"2570 Route 9,",Malta,New York,12020,43.001589,-73.868123,
Johnny's RV & Travel Trailer,"Highway 87 South,",Lavernia,Texas,78121,29.350393,-98.10703,
Johnson Auto Service,"14230 33rd Street,",Wichita Falls,Texas,76302,33.864528,-98.491011,
John's RV Service,"3712 Cottonwood Road,",La Grange,Texas,78945,29.912267,-96.889573,
Johnnie Reynolds Motor Company,"512 East Jefferson,",Dallas,Texas,75203,32.746823,-96.802681,
Johnson Supply Inc,"10555 Stella Link,",Houston,Texas,77025,29.685706,-95.434764,
Joe's Auto & RV,"2838 Bear Springs Drive,",San Antonio,Texas,78245,29.401093,-98.730806,
Joel E West Inc,"1811 South Houston,",Livingston,Texas,77351,30.717792,-94.817231,
Joe's RV Service,"735 Eberle Lane,",Fredricksburg,Texas,78624,30.280938,-98.876683,
Jim's Camper Sales/rentals,"3145 Alta Mere Highway 183,",Fort Worth,Texas,76116,32.720723,-97.447033,
Jiro Enterprises,"15830 County Road 681,",Lytle,Texas,78052,29.203679,-98.776694,
Ji RV Service,"2200 Rabbit Cove #67,",West Tawakoni,Texas,75474,32.9242,-96.109811,
Jesse Lile Ford & RV,"Highway 15 West,",Booker,Texas,79005,36.380233,-100.507442,
Jerry's General Automotive Inc,"6404 South Cooper Street,",Arlington,Texas,76001,32.635563,-97.148829,
Jerry's Campers,"118 Arnold Blvd,",Abilene,Texas,79605,32.434599,-99.781827,
Jerry's Appliance,"103 Riverside Drive,",Huntsville,Texas,77340,30.6402,-95.538432,
Jd's Ac Inc,"217 Mosley Circle South,",Longview,Texas,75605,32.582243,-94.725529,
Jack Fischer,"616 Palm Valley Drive East,",Harlingen,Texas,78552,26.193782,-97.75069,
J M RV Repair Center,"5502 North Cage,",Pharr,Texas,78577,26.15153,-98.189752,
Jacks Of All Trades,"8804 Texas Sun Drive,",Austin,Texas,78748,30.16711,-97.823998,
J S M Enterprises,"5602 Briarcrest,",Garland,Texas,75043,32.857447,-96.575798,
J E B Ac & Heat,"13212 Captain Circle,",Willis,Texas,77378,30.471374,-95.363872,
Jack Sisemore Traveland,"4341 Canyon Drive,",Amarillo,Texas,79110,35.145012,-101.876275,
J D Mobile Home Repair,"719 East Ceasar,",Kingsville,Texas,78363,27.444204,-97.865597,
J C Woodall,"Rt 3, Box 197 W,",Brookshire,Texas,77423,29.856778,-95.977311,
J Bar A Ranch,"6995 North Highway 105,",Vidor,Texas,77662,30.177924,-94.018171,
J & M Repair Service,"161 Overhill Road,",Bastrop,Texas,78602,30.12382,-97.32771,
J & J Sales And Service,"310 Ash Street,",Keene,Texas,76059,32.392588,-97.32754,
J & J RV Service,"10583 Us Highway 190 West,",Livingston,Texas,77351,30.717792,-94.817231,
J & S Services,"100 Fm 565 South,",Baytown,Texas,77520,29.733275,-94.994118,
J & B Air Conditioning Inc,"10325 Highway 87 East,",Adkins,Texas,78101,29.353553,-98.238308,
Interstate RV Of Mission Inc,"16922 I-10 East,",Channelview,Texas,77530,29.785907,-95.117207,
Island RV Accessories,"1 Padre Blvd,",South Padre Island,Texas,78597,26.235,-97.271778,
